PotID,Pot.ID.QR.Code,stripNo,BinNo,plotType,divLevel,trt,lines1,lines2,lines3,lines4,lines5,lines6,lines7,lines8,lines9,lines10,lines11,lines12,lines13,lines14,lines15,lines16,lines17,lines18,lines19,lines20,PlantNum_Initial,CanopyArea,SLA_Area,SLA_Wt,SLA,FH_Wt,FT.5.29.30.18,FT.6.4.18,FT.6.8.18,FT.6.12.18,FT.6.15.18,FT.6.19.18,FT.6.21.18,FT.6.26.18,FT.6.29.18,FT.7.6.18,FT.7.10.18,Damaged_pot,FT1001_mean,FT1001_q90,FT1001_q10,PC5dist_mean,Ngenotypes,meanKin,meanGenD,treeDiv,ecotypeid,potF2,MaxPlantNum,typePlot
314,314-C-mono-1-C,C,4,mono,1,C,CS77287,,,,,,,,,,,,,,,,,,,,20,7.48,NA,NA,NA,0.0578,1,100,100,100,100,100,100,100,100,100,100,,42.125,42.125,42.125,8.792225748,1,7.322603124,0,0,9585,37.56294118,20,NA
315,315-C-mono-1-C,C,4,mono,1,C,CS76390,,,,,,,,,,,,,,,,,,,,20,25.1,0.42,2.288,0.184,1.2999,0,0,0,0,0,,0,0,0,0,0,,79.375,79.375,79.375,6.971810948,1,7.322603124,0,0,9990,NA,20,NA
316,316-C-mono-1-C,C,4,mono,1,C,CS76769,,,,,,,,,,,,,,,,,,,,20,28.57,0.3,1.532,0.196,1.5067,0,0,0,0,0,,0,0,0,0,0,,69.16666667,69.16666667,69.16666667,4.109676849,1,7.322603124,0,0,9705,NA,20,NA
317,317-C-mono-1-S,C,4,mono,1,S,CS76786,,,,,,,,,,,,,,,,,,,,20,6.2,NA,NA,NA,0.2219,0,1,1,1,25,75,75,100,100,100,100,,50.5,50.5,50.5,11.03623322,1,7.322603124,0,0,7067,137.2507143,20,NA
318,318-C-mono-1-S,C,4,mono,1,S,CS76572,,,,,,,,,,,,,,,,,,,,17,1.66,0.21,0.767,0.274,0.0569,0,0,0,0,0,50,50,75,100,100,100,,67.5,67.5,67.5,16.4954043,1,7.322603124,0,0,7298,61.61,17,NA
319,319-C-pred-20-C,C,4,pred,20,C,CS77057,CS76836,CS77033,CS77190,CS77000,CS76979,CS76739,CS76769,CS76958,CS77020,CS77197,CS76632,CS76513,CS77023,CS78848,CS77196,CS77004,CS76409,CS76642,CS77126,20,24.06,NA,NA,NA,0.2009,0,0,0,1,1,50,75,75,75,75,75,,74.87291667,90.18333333,53.7625,5.473312127,20,6.25349995,1.080566515,37.74919718,NA,227.5483333,20,SimClimGdiv
320,320-C-mono-1-C,C,4,mono,1,C,CS76994,,,,,,,,,,,,,,,,,,,,20,7.27,NA,NA,NA,0.2055,0,25,25,1,5,75,75,100,100,100,100,,55.5,55.5,55.5,10.54011462,1,7.322603124,0,0,6830,74.04157895,20,NA
321,321-C-mono-1-C,C,4,mono,1,C,CS77387,,,,,,,,,,,,,,,,,,,,20,NA,NA,NA,NA,0.2919,0,100,100,75,100,100,100,100,100,100,100,,50.875,50.875,50.875,7.91471514,1,7.322603124,0,0,9590,167.042,20,NA
322,322-C-mono-1-S,C,4,mono,1,S,CS76958,,,,,,,,,,,,,,,,,,,,20,15.49,0.47,2.795,0.168,0.0359,0,0,0,0,0,,0,0,0,0,0,,82.125,82.125,82.125,4.296055631,1,7.322603124,0,0,9630,NA,20,NA
323,323-C-pred-10-C,C,4,pred,10,C,CS76886,CS77190,CS76691,CS77020,CS76996,CS78848,CS77196,CS77028,CS76650,CS76786,,,,,,,,,,,18,24.01,NA,NA,NA,0.3715,0,1,1,1,25,75,75,75,75,75,75,,72.69583333,93.7,50.0625,7.464984598,10,6.253709184,1.137309012,24.70585266,NA,328.37,18,Gdiv
